time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-23T02:47:57.680Z,33.2775,-116.2586667,2.69,2.59,ml,88,19,0.08467,0.22,ci,ci39894247,2021-12-23T02:58:49.650Z,"11km ENE of Borrego Springs, CA",earthquake,0.18,0.48,0.145,25,automatic,ci,ci
2021-12-23T02:34:03.680Z,19.2203333333333,-155.385333333333,31.13,2.58,ml,45,155,,0.11,hv,hv72843652,2021-12-23T02:52:29.150Z,"9 km E of Pāhala, Hawaii",earthquake,0.49,0.58,0.134835358434544,26,reviewed,hv,hv
2021-12-23T02:29:08.610Z,-5.7428,147.0448,86.72,4.6,mb,,59,5.327,0.44,us,us6000geqh,2021-12-23T02:44:28.040Z,"108 km N of Lae, Papua New Guinea",earthquake,10.3,9.2,0.112,24,reviewed,us,us
2021-12-23T01:54:26.422Z,35.1679,-3.9456,10,4.8,mb,,67,2.391,0.7,us,us6000geqa,2021-12-23T02:29:37.544Z,"7 km S of Tirhanimîne, Morocco",earthquake,6.9,1.9,0.077,53,reviewed,us,us
2021-12-23T01:47:42.520Z,40.3123322,-124.350502,29.56,3.06,ml,12,230,0.1634,0.15,nc,nc73667831,2021-12-23T02:03:14.200Z,"6km WSW of Petrolia, CA",earthquake,2.13,1.82,0.251,10,automatic,nc,nc
2021-12-23T01:17:51.154Z,11.3874,-87.0547,35,4.4,mb,,180,1.093,0.7,us,us6000geq6,2021-12-23T01:53:00.040Z,"73 km SW of Masachapa, Nicaragua",earthquake,4.3,2,0.063,73,reviewed,us,us
2021-12-23T01:13:20.530Z,40.4551659,-124.2201691,21.82,2.54,md,8,249,0.08483,0.12,nc,nc73667826,2021-12-23T02:53:13.056Z,"11km WSW of Rio Dell, CA",earthquake,3.51,0.85,0.12,7,automatic,nc,nc
2021-12-23T00:47:03.201Z,-14.9878,167.3272,111.69,4.7,mb,,82,0.472,0.79,us,us6000geq2,2021-12-23T01:05:59.040Z,"28 km ENE of Port-Olry, Vanuatu",earthquake,12,6.4,0.091,37,reviewed,us,us
2021-12-23T00:24:12.530Z,39.0416679,-123.083168,-0.6,2.56,md,23,58,0.1322,0.18,nc,nc73667821,2021-12-23T02:40:37.125Z,"12km SE of Talmage, CA",earthquake,0.38,6.43,0.11,24,automatic,nc,nc
2021-12-22T23:22:57.959Z,18.8322,-107.207,10,6,mww,,93,5.707,0.83,us,us6000gepm,2021-12-23T02:38:18.187Z,"225 km SW of La Cruz de Loreto, Mexico",earthquake,9.2,1.9,0.039,63,reviewed,us,us
2021-12-22T23:21:46.296Z,-25.5127,-70.5563,66.73,4.6,mb,,161,0.633,0.63,us,us6000gepl,2021-12-22T23:48:02.040Z,"13 km SSW of Taltal, Chile",earthquake,5.1,8,0.122,20,reviewed,us,us
2021-12-22T23:01:29.508Z,17.319,-61.8943,58.28,3.9,ml,,212,0.925,0.41,us,us6000gepf,2021-12-23T02:14:43.217Z,"22 km NNW of Saint John’s, Antigua and Barbuda",earthquake,6,27.2,0.045,64,reviewed,us,us
