,latitude,longitude,mag
0,22.303574,114.165009,1
1,22.303574,114.165009,1
2,22.303574,114.165009,1
3,22.303574,114.165009,1
4,22.301026,114.175148,1
5,22.310459,113.918693,1
6,22.310459,113.918693,1
7,22.529605,114.1138,1
8,22.529605,114.1138,1
9,22.529605,114.1138,1
10,22.529605,114.1138,1
11,22.528078,114.113319,1
12,22.417269,114.229146,1
13,22.380638,114.201978,1
14,22.415185,114.223068,1
15,22.383555,114.208289,1
16,22.380638,114.201978,1
17,22.303574,114.165009,1
18,22.303574,114.165009,1
19,22.303574,114.165009,1
20,22.412413,113.983709,1
21,22.406927,113.975941,1
22,22.412413,113.983709,1
23,22.406927,113.975941,1
24,22.303574,114.165009,1
25,22.428698,114.242994,1
26,22.380638,114.20198,1
27,22.303574,114.165009,1
28,22.428698,114.242994,1
29,22.380638,114.201978,1
30,22.303574,114.165009,1
31,22.303574,114.165009,1
32,22.303574,114.165009,1
33,22.303574,114.165009,1
34,22.289204,114.197326,1
35,22.27585333535962,114.17530415324272,1
36,22.27585333535962,114.17530415324272,1
37,22.529605,114.1138,1
38,22.529605,114.1138,1
39,22.529605,114.1138,1
40,22.496834,114.124567,1
41,22.303574,114.165009,1
42,22.303574,114.165009,1
43,22.303574,114.165009,1
44,22.412413,113.983709,1
45,22.408151,114.32133600000002,1
46,22.406927,113.975941,1
47,22.310459,113.918693,1
48,22.310459,113.918693,1
49,22.3049382,114.1584803,1
50,22.282659,114.155604,1
51,22.30346,114.160226,1
52,22.286632,114.156612,1
53,22.270687,114.131299,1
54,22.310459,113.918693,1
55,22.310459,113.918693,1
56,22.304951000000006,114.16048700000002,1
57,22.282659,114.155604,1
58,22.30346,114.160226,1
59,22.286632,114.156612,1
60,22.270687,114.131299,1
61,22.304951000000006,114.16048700000002,1
62,22.30346,114.160226,1
63,22.286632,114.156612,1
64,22.270687,114.131299,1
65,22.309655,114.165537,1
66,22.308875,114.174655,1
67,22.3088961,114.1746325,1
68,22.3141049,113.9539113,1
69,22.3141049,113.9539113,1
70,22.3141049,113.9539113,1
71,22.350367,114.099316,1
72,22.350043,114.100531,1
73,22.350043,114.100531,1
74,22.303574,114.165009,1
75,22.303574,114.165009,1
76,22.303574,114.165009,1
77,22.303574,114.165009,1
78,22.303574,114.165009,1
79,22.306372,114.18968999999998,1
80,22.529605,114.1138,1
81,22.529605,114.1138,1
82,22.32233,114.22781299999998,1
83,22.310459,113.918693,1
84,22.310459,113.918693,1
85,22.305638,114.214105,1
86,22.305638,114.214105,1
87,22.310459,113.918693,1
88,22.310459,113.918693,1
89,22.305638,114.214105,1
90,22.305638,114.214105,1
91,22.367777,114.128356,1
92,22.341465300000007,114.1530548,1
97,22.304554,114.171953,1
98,22.281013,114.221177,1
99,22.304554,114.171953,1
100,22.317772,114.187405,1
103,22.307786,114.234363,1
104,22.3070624,114.2336121,1
105,22.324182,114.21256,1
106,22.32233,114.22781299999998,1
107,22.317597,114.270391,1
108,22.339783,114.180227,1
111,22.339783,114.180227,1
115,22.3070624,114.2336121,1
121,22.310459,113.918693,1
122,22.310459,113.918693,1
129,22.3618,114.105879,1
130,22.310459,113.918693,1
138,22.281807,114.22095,1
148,22.310459,113.918693,1
149,22.310459,113.918693,1
150,22.310459,113.918693,1
151,22.310459,113.918693,1
155,22.309159,114.224414,1
160,22.309159,114.224414,1
162,22.309159,114.224414,1
165,22.309159,114.224414,1
167,22.309159,114.224414,1
172,22.309159,114.224414,1
174,22.309159,114.224414,1
176,22.309159,114.224414,1
178,22.309159,114.224414,1
181,22.309159,114.224414,1
187,22.284787,114.223672,1
188,22.281436,114.221923,1
190,22.309159,114.224414,1
202,22.290015,114.195562,1
205,22.417058,113.975514,1
207,22.290015,114.195562,1
210,22.290015,114.195562,1
216,22.290015,114.195562,1
219,22.290015,114.195562,1
223,22.290015,114.195562,1
226,22.509532,114.07405,1
227,22.509532,114.07405,1
236,22.3786,113.9838,1
266,22.388488,113.98003,1
878,22.310459,113.918693,1
1582,22.3094024,114.2625697,1
1824,22.3105,113.9187,1
12931,22.358536289992973,114.10726606317681,1
